"idproducto"|"cod_barra"|"nombre"|"precio_venta_minorista"|"precio_venta_mayorista"|"cantidad_mayorista"|"precio_compra"|"stock"|"stock_min"|"activar"|"venta_mayorista"|"promocion"|"ult_venta"|"ult_compra"|"fk_idproducto_categoria"|"fk_idproducto_unidad"|"fk_idproducto_marca"|"alquilado"|"precio_venta_promocion"|"stock_fijo"|"precio_alquiler"|"precio_reposicion"|"descripcion"
92|"75940-1OR2P"|"850-DECORACIÓN (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-28"|"2023-02-28"|9|1|1|t|0|100|850000|0|"sin-dato"
91|"74392-ZOHE9"|"Servicio de Mozo (tercerizado hasta 8hs de servicio)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-01-02"|"2023-01-02"|9|1|1|t|0|100|250000|0|"sin-dato"
90|"74341-MQPCD"|"CARTEL CON NOMBRE (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-01-02"|"2023-01-02"|9|1|1|t|0|100|100000|0|"sin-dato"
89|"74260-SUJZN"|"ILUMINACIÓN 1000 (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-24"|"2023-02-24"|9|1|1|t|0|100|1000000|0|"sin-dato"
88|"74137-WWOUB"|"500-DECORACIÓN (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-28"|"2023-02-28"|9|1|1|t|0|100|500000|0|"sin-dato"
87|"54452-HVYOU"|"Posa plato - Plateado"|0.00|0.00|0|0.00|100|10|t|f|f|"2022-12-30"|"2022-12-30"|6|1|1|t|0|100|5000|0|"sin-dato"
86|"78832-A5Z8T"|"Alfombra negra P"|0.00|0.00|0|0.00|10|1|t|f|f|"2022-12-21"|"2022-12-21"|9|1|1|t|0|10|50000|0|"sin-dato"
85|"76559-UHK16"|"Flete para completar salida Mínima"|0.00|0.00|0|0.00|100|10|t|f|f|"2022-12-21"|"2022-12-21"|9|1|1|t|0|100|50000|0|"sin-dato"
84|"40461-RBTW3"|"350-Mini Decorado Básico - Opción 1 (Económico)"|0.00|0.00|0|0.00|100|1|t|f|f|"2023-02-28"|"2023-02-28"|9|1|1|t|0|100|350000|0|"sin-dato"
83|"50136-UA8JP"|"ENTELADO BASICO"|0.00|0.00|0|0.00|100|10|t|f|f|"2022-12-17"|"2022-12-17"|9|1|1|t|0|100|200000|0|"sin-dato"
82|"49834-X9Q85"|"Posa plato "|0.00|0.00|0|0.00|250|10|t|f|f|"2022-12-17"|"2022-12-17"|6|1|1|t|0|250|5000|40000|"sin-dato"
81|"40109-EKUBO"|"Copas Barrocas s/pedido"|0.00|0.00|0|0.00|400|10|t|f|f|"2022-12-16"|"2022-12-16"|6|1|1|t|0|400|5000|0|"sin-dato"
80|"39996-OAG5H"|"Mesa larga/tablón p/10P"|0.00|0.00|0|0.00|23|3|t|f|f|"2022-12-16"|"2022-12-16"|4|1|1|t|0|23|20000|0|"sin-dato"
79|"39952-DRX31"|"Mesa redonda p/8P"|0.00|0.00|0|0.00|100|10|t|f|f|"2022-12-16"|"2022-12-16"|4|1|1|t|0|100|10000|0|"sin-dato"
78|"73633-N9C8J"|"JUEGO BISTRÓ BLANCO Mesa+4 sillas "|0.00|0.00|0|120000.00|15|2|t|f|f|"2023-02-17"|"2023-02-17"|2|1|1|t|0|15|120000|0|"sin-dato"
77|"73556-S2ZCS"|"JUEGO BISTRÓ NEGRO Mesa+4 sillas "|0.00|0.00|0|120000.00|15|2|t|f|f|"2023-02-17"|"2023-02-17"|2|1|1|t|0|15|120000|0|"sin-dato"
76|"3015-7DOHA"|"Moños para silla (color s/pedido)"|0.00|0.00|0|0.00|500|10|t|f|f|"2022-11-30"|"2022-11-30"|8|1|1|t|0|500|2500|10000|"sin-dato"
75|"2953-JZ9SH"|"Servilletas de tela (color s/ped)"|0.00|0.00|0|0.00|500|10|t|f|f|"2023-01-02"|"2023-01-02"|8|1|1|t|0|500|2500|10000|"sin-dato"
74|"2632-RY6LP"|"Caminero (color s/pedido)"|0.00|0.00|0|0.00|20|2|t|f|f|"2022-11-30"|"2022-11-30"|8|1|1|t|0|20|10000|30000|"sin-dato"
73|"2410-DFSXO"|"Cubre Mantel (color s/pedido)"|0.00|0.00|0|0.00|50|5|t|f|f|"2022-11-30"|"2022-11-30"|8|1|1|t|0|50|15000|0|"sin-dato"
72|"2208-XL3VS"|"Mantel brocato (color s/ped)"|0.00|0.00|0|0.00|200|10|t|f|f|"2023-01-02"|"2023-01-02"|8|1|1|t|0|200|25000|100000|"sin-dato"
71|"2122-UHUHQ"|"Globo Loco XG c/Tobogán rojo"|0.00|0.00|0|0.00|1|0|t|f|f|"2022-11-30"|"2022-11-30"|7|1|1|t|0|1|450000|0|"sin-dato"
70|"2066-MO17X"|"Globo Loco G c/Tobogan "|0.00|0.00|0|0.00|1|0|t|f|f|"2022-11-30"|"2022-11-30"|7|1|1|t|0|1|400000|0|"sin-dato"
69|"1932-1DBZX"|"Globo Loco G - Jirafa "|0.00|0.00|0|0.00|1|0|t|f|f|"2022-11-30"|"2022-11-30"|7|1|1|t|0|1|400000|0|"sin-dato"
68|"1895-N137J"|"Globo Loco M - Granjita"|0.00|0.00|0|0.00|1|0|t|f|f|"2022-11-30"|"2022-11-30"|7|1|1|t|0|1|350000|0|"sin-dato"
67|"1862-1NZUP"|"Globo Loco M - Sherek"|0.00|0.00|0|0.00|1|0|t|f|f|"2022-11-30"|"2022-11-30"|7|1|1|t|0|1|350000|0|"sin-dato"
66|"1811-8LC3S"|"Globo Loco Castillo M - Naranja"|0.00|0.00|0|0.00|1|0|t|f|f|"2022-11-30"|"2022-11-30"|7|1|1|t|0|1|350000|0|"sin-dato"
65|"1736-5U8XO"|"Globo Loco Castillo P"|0.00|0.00|0|0.00|3|1|t|f|f|"2022-11-30"|"2022-11-30"|7|1|1|t|0|3|300000|0|"sin-dato"
64|"1693-5H47A"|"Cama Elástica G (4,5mts)"|0.00|0.00|0|0.00|3|1|t|f|f|"2023-01-03"|"2023-01-03"|7|1|1|t|0|3|350000|0|"sin-dato"
63|"1523-YHMBK"|"Cama Elástica P (3mts)"|0.00|0.00|0|0.00|3|1|t|f|f|"2022-11-30"|"2022-11-30"|7|1|1|t|0|3|300000|0|"sin-dato"
62|"1433-9UN88"|"Cuchara para Fideos"|0.00|0.00|0|0.00|5|1|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|5|2500|15000|"sin-dato"
61|"1399-UWA14"|"Cucharas para ensalada "|0.00|0.00|0|0.00|20|2|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|20|2500|15000|"sin-dato"
60|"1269-YYHF8"|"Pinzas para ensalada "|0.00|0.00|0|0.00|20|2|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|20|2500|15000|"sin-dato"
59|"1165-JLUGL"|"Dispensador de vidrio  p/Jugo "|0.00|0.00|0|0.00|3|1|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|3|50000|200000|"sin-dato"
58|"1124-HRXNM"|"Porta Salsas Inox"|0.00|0.00|0|0.00|40|5|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|40|2500|25000|"sin-dato"
57|"1053-R6Q45"|"Bandeja Peq. para entradas"|0.00|0.00|0|0.00|40|5|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|40|2500|25000|"sin-dato"
56|"972-9X5WM"|"Bandeja M lisa p/Entrada o Ens."|0.00|0.00|0|0.00|40|5|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|40|5000|35000|"sin-dato"
